image,mode,k,m,g,width,height,original_size_bytes,compressed_size_bytes,compression_rate,bpp,psnr_db,psnr_ok_30db,output_image
BDD/test_144.ppm,SLIC,64.0,0.05,2.0,64,64,6630,2843,2.3320436158986984,5.552734375,31.1392,True,evaluation_results_auto/generated/test_144_SLIC_k64_m0.05_g2_clean.ppm
BDD/test_144.ppm,slicCC,455.0,0.7,1.0,64,64,6630,4031,1.644753162986852,7.873046875,30.072,True,evaluation_results_auto/generated/test_144_slicCC_k455_m0.7_g1_clean.ppm
BDD/test_145.ppm,SLIC,455.0,0.3,1.0,64,64,10795,8274,1.3046893884457336,16.16015625,27.5739,False,evaluation_results_auto/generated/test_145_SLIC_k455_m0.3_g1_clean.ppm
BDD/test_145.ppm,slicCC,1024.0,0.7,1.0,64,64,10795,6510,1.6582181259600615,12.71484375,22.5319,False,evaluation_results_auto/generated/test_145_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_146.ppm,SLIC,256.0,0.7,1.0,64,64,8907,6001,1.484252624562573,11.720703125,30.8286,True,evaluation_results_auto/generated/test_146_SLIC_k256_m0.7_g1_clean.ppm
BDD/test_146.ppm,slicCC,1024.0,1.0,1.0,64,64,8907,5732,1.55390788555478,11.1953125,28.5981,False,evaluation_results_auto/generated/test_146_slicCC_k1024_m1_g1_clean.ppm
BDD/test_147.ppm,SLIC,64.0,0.05,2.0,64,64,7009,3239,2.163939487496141,6.326171875,32.5886,True,evaluation_results_auto/generated/test_147_SLIC_k64_m0.05_g2_clean.ppm
BDD/test_147.ppm,slicCC,455.0,0.7,2.0,64,64,7009,3750,1.8690666666666667,7.32421875,31.2524,True,evaluation_results_auto/generated/test_147_slicCC_k455_m0.7_g2_clean.ppm
BDD/test_148.ppm,SLIC,455.0,1.0,1.0,64,64,8754,6906,1.267593397046047,13.48828125,29.5011,False,evaluation_results_auto/generated/test_148_SLIC_k455_m1_g1_clean.ppm
BDD/test_148.ppm,slicCC,1024.0,1.0,1.0,64,64,8754,5523,1.5850081477457902,10.787109375,25.4943,False,evaluation_results_auto/generated/test_148_slicCC_k1024_m1_g1_clean.ppm
BDD/test_149.ppm,SLIC,64.0,0.4,3.0,64,64,7177,3294,2.178809957498482,6.43359375,30.1999,True,evaluation_results_auto/generated/test_149_SLIC_k64_m0.4_g3_clean.ppm
BDD/test_149.ppm,slicCC,1024.0,0.1,1.0,64,64,7177,5306,1.3526196758386733,10.36328125,30.6636,True,evaluation_results_auto/generated/test_149_slicCC_k1024_m0.1_g1_clean.ppm
BDD/test_15.ppm,SLIC,455.0,0.5,1.0,64,64,10085,7401,1.3626536954465613,14.455078125,29.5354,False,evaluation_results_auto/generated/test_15_SLIC_k455_m0.5_g1_clean.ppm
BDD/test_15.ppm,slicCC,1024.0,0.3,1.0,64,64,10085,6346,1.5891900409706903,12.39453125,24.7103,False,evaluation_results_auto/generated/test_15_slicCC_k1024_m0.3_g1_clean.ppm
BDD/test_150.ppm,SLIC,455.0,0.05,1.0,64,64,11562,8929,1.2948818456714077,17.439453125,25.7696,False,evaluation_results_auto/generated/test_150_SLIC_k455_m0.05_g1_clean.ppm
BDD/test_150.ppm,slicCC,1024.0,0.05,1.0,64,64,11562,6746,1.713904536021346,13.17578125,19.4408,False,evaluation_results_auto/generated/test_150_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_151.ppm,SLIC,455.0,0.05,1.0,64,64,11024,8226,1.3401410162898129,16.06640625,26.0718,False,evaluation_results_auto/generated/test_151_SLIC_k455_m0.05_g1_clean.ppm
BDD/test_151.ppm,slicCC,1024.0,1.0,1.0,64,64,11024,6538,1.686142551238911,12.76953125,22.3645,False,evaluation_results_auto/generated/test_151_slicCC_k1024_m1_g1_clean.ppm
BDD/test_152.ppm,SLIC,455.0,0.7,1.0,64,64,9922,7371,1.3460860127526795,14.396484375,29.5154,False,evaluation_results_auto/generated/test_152_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_152.ppm,slicCC,1024.0,0.1,1.0,64,64,9922,6174,1.6070618723679948,12.05859375,26.232,False,evaluation_results_auto/generated/test_152_slicCC_k1024_m0.1_g1_clean.ppm
BDD/test_153.ppm,SLIC,256.0,0.05,1.0,64,64,8625,6142,1.404265711494627,11.99609375,31.3398,True,evaluation_results_auto/generated/test_153_SLIC_k256_m0.05_g1_clean.ppm
BDD/test_153.ppm,slicCC,1024.0,0.4,1.0,64,64,8625,5653,1.5257385459048294,11.041015625,28.5613,False,evaluation_results_auto/generated/test_153_slicCC_k1024_m0.4_g1_clean.ppm
BDD/test_154.ppm,SLIC,455.0,1.0,1.0,64,64,10440,8056,1.2959285004965244,15.734375,29.3636,False,evaluation_results_auto/generated/test_154_SLIC_k455_m1_g1_clean.ppm
BDD/test_154.ppm,slicCC,1024.0,1.0,1.0,64,64,10440,6327,1.6500711237553343,12.357421875,25.09,False,evaluation_results_auto/generated/test_154_slicCC_k1024_m1_g1_clean.ppm
BDD/test_155.ppm,SLIC,455.0,0.5,1.0,64,64,9904,7294,1.3578283520701946,14.24609375,28.798,False,evaluation_results_auto/generated/test_155_SLIC_k455_m0.5_g1_clean.ppm
BDD/test_155.ppm,slicCC,1024.0,0.7,1.0,64,64,9904,6108,1.6214800261951539,11.9296875,25.5338,False,evaluation_results_auto/generated/test_155_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_156.ppm,SLIC,455.0,0.5,1.0,64,64,9515,7659,1.2423292858075468,14.958984375,28.6867,False,evaluation_results_auto/generated/test_156_SLIC_k455_m0.5_g1_clean.ppm
BDD/test_156.ppm,slicCC,1024.0,0.3,1.0,64,64,9515,5871,1.6206779083631409,11.466796875,23.4291,False,evaluation_results_auto/generated/test_156_slicCC_k1024_m0.3_g1_clean.ppm
BDD/test_157.ppm,SLIC,455.0,0.4,1.0,64,64,11635,8107,1.4351794745281856,15.833984375,23.1581,False,evaluation_results_auto/generated/test_157_SLIC_k455_m0.4_g1_clean.ppm
BDD/test_157.ppm,slicCC,1024.0,0.4,1.0,64,64,11635,6431,1.8092054112890685,12.560546875,19.8225,False,evaluation_results_auto/generated/test_157_slicCC_k1024_m0.4_g1_clean.ppm
BDD/test_158.ppm,SLIC,455.0,1.0,1.0,64,64,10558,8136,1.2976892822025565,15.890625,28.4833,False,evaluation_results_auto/generated/test_158_SLIC_k455_m1_g1_clean.ppm
BDD/test_158.ppm,slicCC,1024.0,1.0,1.0,64,64,10558,6058,1.7428194123473093,11.83203125,24.0004,False,evaluation_results_auto/generated/test_158_slicCC_k1024_m1_g1_clean.ppm
BDD/test_159.ppm,SLIC,64.0,0.05,1.0,64,64,6562,4221,1.554607912816868,8.244140625,33.4452,True,evaluation_results_auto/generated/test_159_SLIC_k64_m0.05_g1_clean.ppm
BDD/test_159.ppm,slicCC,1024.0,0.7,1.0,64,64,6562,4552,1.4415641476274166,8.890625,30.5979,True,evaluation_results_auto/generated/test_159_slicCC_k1024_m0.7_g1_clean.ppm
