image,mode,bpp,psnr_db,compression_rate,k,m,g,psnr_ok_30db
BDD/test_181.ppm,SLIC,15.2890625,29.7965,1.3044200306591722,1024.0,1.0,1.0,False
BDD/test_181.ppm,slicCC,12.193359375,25.9461,1.6355918628864328,1024.0,1.0,1.0,False
BDD/test_182.ppm,SLIC,13.224609375,30.9723,1.3297888051986413,256.0,0.7,1.0,True
BDD/test_182.ppm,slicCC,11.27734375,25.6982,1.5594042258399723,1024.0,0.2,1.0,False
BDD/test_183.ppm,SLIC,9.61328125,30.4214,1.28992279561154,256.0,0.5,1.0,True
BDD/test_183.ppm,slicCC,8.27734375,24.2775,1.498112317130722,1024.0,0.05,1.0,False
BDD/test_184.ppm,SLIC,15.068359375,29.0858,1.2969539857420609,455.0,0.7,1.0,False
BDD/test_184.ppm,slicCC,12.5546875,24.8925,1.5566272557560672,1024.0,1.0,1.0,False
BDD/test_185.ppm,SLIC,12.857421875,30.7029,1.4329333130791433,256.0,1.0,1.0,True
BDD/test_185.ppm,slicCC,11.205078125,27.0525,1.6442391493812096,1024.0,1.0,1.0,False
BDD/test_186.ppm,SLIC,13.115234375,30.327,1.3854058078927773,256.0,0.1,1.0,True
BDD/test_186.ppm,slicCC,11.642578125,26.0269,1.56064418721691,1024.0,0.05,1.0,False
BDD/test_187.ppm,SLIC,18.44921875,27.7768,1.2076011009951302,455.0,1.0,1.0,False
BDD/test_187.ppm,slicCC,12.482421875,20.9461,1.7848537005163512,1024.0,0.7,1.0,False
BDD/test_188.ppm,SLIC,15.56640625,27.1532,1.3519447929736512,455.0,1.0,1.0,False
BDD/test_188.ppm,slicCC,11.869140625,22.1625,1.7730788217870659,1024.0,0.5,1.0,False
BDD/test_189.ppm,SLIC,11.755859375,31.1712,1.4685163648446586,256.0,0.7,1.0,True
BDD/test_189.ppm,slicCC,11.5390625,28.1202,1.4961069735951253,1024.0,1.0,1.0,False
BDD/test_19.ppm,SLIC,15.04296875,29.4229,1.3074526097117631,455.0,1.0,1.0,False
BDD/test_19.ppm,slicCC,12.2421875,25.9677,1.606573069559668,1024.0,1.0,1.0,False
BDD/test_190.ppm,SLIC,18.16796875,25.6603,1.2627391958718555,455.0,0.5,1.0,False
BDD/test_190.ppm,slicCC,12.939453125,19.7452,1.7729811320754716,1024.0,1.0,1.0,False
